DateID,Date,Year,Month,Quarter
142,2024-10-15,2024,October,Q4
143,2024-07-23,2024,July,Q3
144,2024-06-11,2024,June,Q2
145,2025-04-20,2025,April,Q2
146,2024-07-08,2024,July,Q3
147,2024-10-26,2024,October,Q4
148,2025-04-26,2025,April,Q2
149,2025-01-09,2025,January,Q1
150,2025-05-28,2025,May,Q2
151,2024-11-25,2024,November,Q4
152,2024-07-22,2024,July,Q3
153,2025-01-24,2025,January,Q1
154,2025-01-03,2025,January,Q1
155,2024-07-08,2024,July,Q3
156,2025-06-05,2025,June,Q2
157,2024-12-03,2024,December,Q4
158,2025-05-08,2025,May,Q2
159,2024-07-21,2024,July,Q3
160,2025-02-09,2025,February,Q1
161,2024-11-14,2024,November,Q4
162,2024-07-24,2024,July,Q3
163,2025-04-27,2025,April,Q2
164,2025-05-25,2025,May,Q2
165,2025-03-26,2025,March,Q1
166,2024-06-10,2024,June,Q2
167,2024-11-29,2024,November,Q4
168,2024-11-12,2024,November,Q4
169,2024-12-22,2024,December,Q4
170,2024-11-22,2024,November,Q4
171,2024-12-16,2024,December,Q4
172,2025-05-29,2025,May,Q2
173,2024-12-08,2024,December,Q4
174,2024-11-27,2024,November,Q4
175,2024-06-18,2024,June,Q2
176,2024-09-13,2024,September,Q3
177,2024-12-21,2024,December,Q4
178,2025-04-01,2025,April,Q2
179,2025-01-30,2025,January,Q1
180,2025-01-10,2025,January,Q1
181,2024-07-02,2024,July,Q3
182,2024-07-01,2024,July,Q3
183,2025-06-06,2025,June,Q2
184,2024-10-07,2024,October,Q4
185,2025-05-24,2025,May,Q2
186,2025-03-25,2025,March,Q1
187,2025-03-28,2025,March,Q1
188,2025-05-18,2025,May,Q2
189,2024-12-06,2024,December,Q4
190,2025-04-22,2025,April,Q2
191,2024-12-31,2024,December,Q4
192,2025-02-04,2025,February,Q1
193,2025-01-29,2025,January,Q1
194,2024-12-28,2024,December,Q4
195,2024-12-07,2024,December,Q4
196,2024-08-03,2024,August,Q3
197,2025-01-06,2025,January,Q1
198,2025-03-07,2025,March,Q1
199,2024-07-16,2024,July,Q3
200,2025-02-28,2025,February,Q1
201,2024-10-31,2024,October,Q4
202,2024-08-17,2024,August,Q3
203,2025-02-03,2025,February,Q1
204,2025-01-16,2025,January,Q1
205,2025-03-15,2025,March,Q1
206,2024-07-16,2024,July,Q3
207,2024-08-09,2024,August,Q3
208,2024-09-13,2024,September,Q3
209,2025-02-13,2025,February,Q1
210,2025-02-01,2025,February,Q1
211,2024-08-16,2024,August,Q3
212,2025-04-24,2025,April,Q2
213,2024-12-08,2024,December,Q4
214,2024-11-22,2024,November,Q4
215,2025-02-25,2025,February,Q1
216,2024-11-09,2024,November,Q4
217,2025-01-25,2025,January,Q1
218,2024-09-17,2024,September,Q3
219,2024-12-28,2024,December,Q4
220,2024-11-17,2024,November,Q4
221,2025-03-27,2025,March,Q1
222,2025-05-11,2025,May,Q2
223,2025-04-21,2025,April,Q2
224,2025-05-10,2025,May,Q2
225,2025-04-30,2025,April,Q2
226,2024-12-17,2024,December,Q4
227,2024-09-25,2024,September,Q3
228,2025-06-03,2025,June,Q2
229,2024-08-26,2024,August,Q3
230,2024-10-25,2024,October,Q4
231,2025-03-07,2025,March,Q1
232,2024-09-06,2024,September,Q3
233,2024-10-15,2024,October,Q4
234,2025-05-30,2025,May,Q2
235,2025-03-07,2025,March,Q1
236,2025-05-03,2025,May,Q2
237,2024-10-15,2024,October,Q4
238,2025-04-28,2025,April,Q2
239,2024-07-31,2024,July,Q3
240,2024-09-08,2024,September,Q3
241,2025-06-01,2025,June,Q2
242,2024-08-12,2024,August,Q3
243,2025-02-22,2025,February,Q1
244,2025-03-25,2025,March,Q1
245,2024-09-16,2024,September,Q3
246,2025-05-08,2025,May,Q2
247,2025-03-22,2025,March,Q1
248,2024-12-29,2024,December,Q4
249,2024-11-18,2024,November,Q4
250,2024-12-28,2024,December,Q4
251,2024-09-07,2024,September,Q3
252,2024-11-25,2024,November,Q4
253,2024-12-21,2024,December,Q4
254,2024-09-08,2024,September,Q3
255,2024-11-30,2024,November,Q4
256,2024-12-07,2024,December,Q4
257,2024-10-24,2024,October,Q4
258,2024-10-24,2024,October,Q4
259,2024-07-06,2024,July,Q3
260,2025-03-26,2025,March,Q1
261,2025-05-17,2025,May,Q2
262,2025-06-07,2025,June,Q2
263,2025-03-15,2025,March,Q1
264,2024-07-01,2024,July,Q3
265,2025-04-28,2025,April,Q2
266,2024-12-25,2024,December,Q4
267,2024-08-05,2024,August,Q3
268,2024-06-22,2024,June,Q2
269,2024-08-08,2024,August,Q3
270,2024-12-03,2024,December,Q4
271,2024-08-30,2024,August,Q3
272,2024-08-28,2024,August,Q3
273,2025-04-22,2025,April,Q2
274,2025-03-18,2025,March,Q1
275,2025-01-01,2025,January,Q1
276,2024-10-07,2024,October,Q4
277,2024-10-18,2024,October,Q4
278,2024-10-08,2024,October,Q4
279,2024-10-07,2024,October,Q4
280,2024-09-24,2024,September,Q3
281,2024-10-18,2024,October,Q4
282,2025-02-26,2025,February,Q1
283,2025-05-07,2025,May,Q2
284,2025-05-28,2025,May,Q2
285,2025-02-14,2025,February,Q1
286,2025-02-26,2025,February,Q1
287,2024-10-06,2024,October,Q4
288,2024-08-05,2024,August,Q3
289,2025-01-10,2025,January,Q1
290,2025-04-25,2025,April,Q2
291,2024-09-30,2024,September,Q3
292,2024-07-29,2024,July,Q3
293,2025-01-10,2025,January,Q1
294,2024-11-19,2024,November,Q4
295,2024-11-05,2024,November,Q4
296,2024-10-29,2024,October,Q4
297,2025-06-02,2025,June,Q2
298,2024-09-04,2024,September,Q3
299,2024-06-28,2024,June,Q2
300,2024-07-04,2024,July,Q3
301,2024-12-22,2024,December,Q4
302,2025-02-14,2025,February,Q1
303,2024-12-15,2024,December,Q4
304,2024-11-16,2024,November,Q4
305,2024-11-02,2024,November,Q4
306,2024-08-15,2024,August,Q3
307,2024-12-06,2024,December,Q4
308,2025-06-01,2025,June,Q2
309,2024-09-20,2024,September,Q3
310,2025-01-19,2025,January,Q1
311,2024-07-25,2024,July,Q3
312,2024-10-21,2024,October,Q4
313,2024-06-16,2024,June,Q2
314,2025-04-24,2025,April,Q2
315,2025-02-27,2025,February,Q1
316,2025-04-07,2025,April,Q2
317,2024-08-18,2024,August,Q3
318,2024-10-08,2024,October,Q4
319,2024-09-02,2024,September,Q3
320,2024-08-17,2024,August,Q3
321,2025-01-14,2025,January,Q1
322,2024-07-15,2024,July,Q3
323,2025-03-16,2025,March,Q1
324,2024-10-07,2024,October,Q4
325,2025-03-21,2025,March,Q1
326,2024-07-11,2024,July,Q3
327,2025-05-17,2025,May,Q2
328,2024-06-27,2024,June,Q2
329,2025-05-22,2025,May,Q2
330,2024-09-03,2024,September,Q3
331,2024-07-01,2024,July,Q3
332,2024-07-21,2024,July,Q3
333,2025-01-26,2025,January,Q1
334,2025-02-25,2025,February,Q1
335,2024-06-24,2024,June,Q2
336,2024-12-25,2024,December,Q4
337,2024-08-08,2024,August,Q3
338,2025-04-03,2025,April,Q2
339,2024-06-21,2024,June,Q2
340,2025-01-21,2025,January,Q1
341,2024-08-02,2024,August,Q3
342,2024-11-13,2024,November,Q4
343,2025-03-22,2025,March,Q1
344,2024-11-06,2024,November,Q4
345,2025-04-07,2025,April,Q2
346,2024-11-27,2024,November,Q4
347,2024-08-29,2024,August,Q3
348,2025-03-18,2025,March,Q1
349,2024-12-28,2024,December,Q4
350,2024-08-29,2024,August,Q3
351,2025-05-01,2025,May,Q2
352,2025-04-16,2025,April,Q2
353,2025-01-20,2025,January,Q1
354,2025-01-05,2025,January,Q1
355,2025-05-01,2025,May,Q2
356,2024-10-10,2024,October,Q4
357,2025-03-26,2025,March,Q1
358,2025-05-31,2025,May,Q2
359,2025-01-18,2025,January,Q1
360,2024-06-29,2024,June,Q2
361,2025-04-19,2025,April,Q2
362,2025-05-02,2025,May,Q2
363,2025-02-24,2025,February,Q1
364,2025-05-19,2025,May,Q2
365,2025-01-23,2025,January,Q1
